ID,degre
METRROTT0000002269779168,2
METRROTT0000002269779226,4
METRROTT0000002269779237,2
METRROTT0000002269779276,2
METRROTT0000002269779343,2
METRROTT0000002269779409,2
METRROTT0000002269779413,2
METRROTT0000002269780776,2
METRROTT0000002269779544,2
METRROTT0000002269779580,2
METRROTT0000002269779675,2
METRROTT0000002269779685,2
METRROTT0000002269779741,2
METRROTT0000002269779793,2
METRROTT0000002269779796,2
METRROTT0000002269779797,3
METRROTT0000002269779798,2
METRROTT0000002269779861,2
METRROTT0000002269779878,2
METRROTT0000002269779912,2
METRROTT0000002269780603,2
METRROTT0000002269779965,2
METRROTT0000002269780007,2
METRROTT0000002269780040,3
METRROTT0000002269780070,2
METRROTT0000002269780095,2
METRROTT0000002269780153,3
METRROTT0000002269780468,2
METRROTT0000002269780209,2
METRROTT0000002269780412,2
METRROTT0000002269780328,2
METRROTT0000002269780292,2
METRROTT0000002269780313,3
METRROTT0000002269780420,2
METRROTT0000002269780406,3
METRROTT0000002269780330,2
METRROTT0000002269780409,2
METRROTT0000002269780414,3
METRROTT0000002269780427,2
METRROTT0000002269780499,3
METRROTT0000002269780530,5
METRROTT0000002269780709,3
METRROTT0000002269780558,2
METRROTT0000002269780564,2
METRROTT0000002269780565,2
METRROTT0000002269780634,2
METRROTT0000002269780803,2
METRROTT0000002269780860,2
METRROTT0000002269780986,2
METRROTT0000002269781119,3
METRROTT0000002269781186,2
METRROTT0000002269781245,2
METRROTT0000002269781273,2
METRROTT0000002269781291,3
METRROTT0000002269781304,2
METRROTT0000002269781293,2
METRROTT0000002269781471,3
METRROTT0000002269781650,2
METRROTT0000002269781692,2
METRROTT0000002269782138,2
METRROTT0000002269781703,2
METRROTT0000002269781720,2
METRROTT0000002269781732,2
METRROTT0000002269781756,2
METRROTT0000002269781943,2
METRROTT0000002269781788,2
METRROTT0000002269781792,2
METRROTT0000002269781940,2
METRROTT0000002269781973,2
METRROTT0000002269782070,2
METRROTT0000002269782159,2
METRROTT0000002269782096,2
METRROTT0000002269782178,2
METRROTT0000002269782183,2
METRROTT0000002269782209,2
METRROTT0000002269782243,2
METRROTT0000002269782259,2
METRROTT0000002269782260,2
METRROTT0000002269782270,2
METRROTT0000002269782336,2
METRROTT0000002269782342,2
METRROTT0000002269782345,2
METRROTT0000002269782347,2
METRROTT0000002269782330,2
METRROTT0000002269782373,2
METRROTT0000002269782400,2
METRROTT0000002269782404,2
METRROTT0000002269782685,2
METRROTT0000002269782469,2
METRROTT0000002269782470,2
METRROTT0000002269782464,2
METRROTT0000002269782550,3
METRROTT0000002269782566,2
METRROTT0000002269782611,4
METRROTT0000002269782625,2
METRROTT0000002269782631,2
METRROTT0000002269782774,2
METRROTT0000002269782816,2
METRROTT0000002269782846,3
METRROTT0000002269783064,2
METRROTT0000002269783076,2
METRROTT0000002269783089,2
METRROTT0000002269783107,3
METRROTT0000002269783109,3
METRROTT0000002269783558,3
METRROTT0000002269783725,2
METRROTT0000002269783898,3
METRROTT0000002269814467,2
METRROTT0000002269814468,2
METRROTT0000002269814933,2
METRROTT0000002285402768,2
METRROTT0000002285406600,2
METRROTT0000002269834356,4
METRROTT0000002285650634,2
